,Year,Hobbyist,ConvertedComp,Country,EdLevel,Employment,JobSat,OrgSize,UndergradMajor,YearsCodePro,Data scientist or machine learning specialist,Database administrator,Data or business analyst,"Engineer, data"
13610,2019,Yes,31536.0,Russian Federation,Some college/university study without earning a bachelor's degree,Employed full-time,6.0,2 to 9 employees,Natural science,3.0,0,1,1.0,0.0
13611,2019,No,100000.0,United States,Associate degree,Employed full-time,8.0,"5,000 to 9,999 employees",Information systems,22.0,0,1,1.0,0.0
13612,2019,Yes,63240.0,Finland,Master's degree,Employed full-time,6.0,500 to 999 employees,Computer science,3.0,1,0,0.0,0.0
13613,2019,Yes,27492.0,Finland,Master's degree,Employed full-time,6.0,2 to 9 employees,Computer science,17.0,0,1,0.0,0.0
13614,2019,Yes,59508.0,Jordan,Bachelor's degree,Employed full-time,6.0,"5,000 to 9,999 employees",Computer science,18.0,0,0,1.0,0.0
13615,2019,Yes,112164.0,Israel,Bachelor's degree,Employed full-time,6.0,"1,000 to 4,999 employees",Computer science,20.0,1,0,0.0,1.0
13616,2019,Yes,140000.0,United States,Bachelor's degree,Employed full-time,4.0,"5,000 to 9,999 employees",Fine arts or performing arts,25.0,1,0,1.0,0.0
13617,2019,Yes,26388.0,Mexico,Some college/university study without earning a bachelor's degree,Employed full-time,4.0,10 to 19 employees,Natural science,3.0,1,0,0.0,0.0
13618,2019,Yes,180000.0,United States,Bachelor's degree,Employed full-time,8.0,20 to 99 employees,Humanities,22.0,0,1,1.0,1.0
13619,2019,Yes,36027.0,South Africa,Some college/university study without earning a bachelor's degree,Employed full-time,4.0,20 to 99 employees,Computer science,10.0,1,1,1.0,0.0
13620,2019,Yes,4740.0,Nepal,Bachelor's degree,Employed full-time,6.0,20 to 99 employees,Computer science,3.0,1,0,0.0,0.0
13621,2019,Yes,65277.0,Australia,Some college/university study without earning a bachelor's degree,Employed full-time,8.0,"5,000 to 9,999 employees",Computer science,1.0,0,1,0.0,0.0
13622,2019,Yes,57287.0,Italy,Master's degree,Employed full-time,6.0,20 to 99 employees,Computer science,3.0,1,0,1.0,0.0
13623,2019,Yes,25206.0,Italy,Some college/university study without earning a bachelor's degree,Employed full-time,5.0,10 to 19 employees,Computer science,1.0,0,1,0.0,0.0
13624,2019,Yes,200000.0,United States,Master's degree,Employed full-time,8.0,500 to 999 employees,Computer science,20.0,0,1,0.0,1.0
13625,2019,Yes,98952.0,Trinidad and Tobago,Some college/university study without earning a bachelor's degree,"Independent contractor, freelancer, or self-employed",8.0,"Just me - I am a freelancer, sole proprietor, etc.",Information systems,3.0,0,1,0.0,0.0
13626,2019,Yes,19248.0,Italy,Doctoral degree,Employed full-time,6.0,20 to 99 employees,Mathematics or statistics,10.0,1,0,0.0,0.0
13627,2019,No,11040.0,Albania,Master's degree,Employed full-time,5.0,20 to 99 employees,Computer science,14.0,0,1,0.0,0.0
13628,2019,Yes,98964.0,Israel,Bachelor's degree,Employed full-time,8.0,10 to 19 employees,Natural science,15.0,0,1,0.0,0.0
13629,2019,No,27528.0,Chile,Master's degree,Employed full-time,2.0,"1,000 to 4,999 employees",Another engineering discipline,2.0,1,0,0.0,1.0
13630,2019,Yes,33000.0,Portugal,Some college/university study without earning a bachelor's degree,Employed full-time,6.0,20 to 99 employees,Computer science,14.0,0,1,0.0,0.0
13631,2019,Yes,11136.0,Lebanon,Associate degree,Employed full-time,6.0,20 to 99 employees,Web development or web design,1.0,0,1,0.0,0.0
13632,2019,Yes,130000.0,United States,Doctoral degree,Employed full-time,8.0,"10,000 or more employees",Natural science,14.0,0,0,0.0,1.0
13633,2019,No,72912.0,Sweden,Master's degree,Employed full-time,8.0,10 to 19 employees,Another engineering discipline,27.0,0,1,0.0,0.0
